School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Family_Involvement_Icon,Family_Involvement_Score,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,Leaders_Score,Teachers_Icon,Teachers_Score,AVERAGE_STUDENT_ATTENCE,COLLEGE_ENROLLMENT,COMMUNITY_AREA_NUMBER
609926,Franklin Elementary Fine Arts Center,ES,FALSE,Very Strong,87,,,Strong,60,Average,55,Weak,,,,95.90%,363,8
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,FALSE,Average,46,Weak,38,Weak,30,Average,45,Weak,34,Very Weak,14,96.60%,867,58
610144,Frank W Reilly Elementary School,ES,FALSE,Average,48,,,Weak,33,Weak,34,Weak,,,,97.00%,1195,21
610165,Franz Peter Schubert Elementary School,ES,FALSE,,,Weak,31,,,,,Weak,32,Weak,26,95.80%,949,19
610503,Frazier Prospective IB Magnet Elementary School,ES,FALSE,Strong,60,Average,55,Very Strong,84,Strong,72,Weak,42,Average,55,96.80%,220,29
609854,Frederic Chopin Elementary School,ES,FALSE,Very Strong,86,Very Strong,99,Very Strong,99,Very Strong,99,Weak,97,Very Strong,99,96.90%,269,24
610245,Frederick A Douglass Academy High School,HS,FALSE,Average,44,,,Weak,39,Weak,37,Weak,,,,79.20%,354,25
609930,Frederick Funston Elementary School,ES,FALSE,Very Weak,16,,,Very Weak,14,Very Weak,16,Weak,,,,94.70%,619,22
610163,Frederick Stock Elementary School,ES,FALSE,,,Very Strong,99,,,,,Weak,84,Very Strong,81,72.40%,260,9
610010,Friedrich Ludwig Jahn Elementary School,ES,FALSE,Strong,72,,,Strong,60,Average,59,Weak,,,,94.70%,495,5
609737,Friedrich W von Steuben Metropolitan Science High School,HS,FALSE,Strong,70,Weak,39,Average,42,Average,51,Weak,26,Weak,29,87.00%,1636,13
609709,Gage Park High School,HS,FALSE,Very Weak,14,Average,43,Weak,29,Weak,37,Weak,38,Weak,35,72.50%,1052,63
610009,Galileo Math & Science Scholastic Academy Elementary School,ES,FALSE,Strong,65,Average,52,Average,40,Average,42,Weak,56,Weak,33,95.00%,606,28
610072,Garrett A Morgan Elementary School,ES,FALSE,Weak,28,Weak,38,Average,58,Average,55,Weak,46,Weak,36,92.00%,237,71
610293,Genevieve Melody Elementary School,ES,FALSE,Strong,61,,,Strong,65,Strong,77,Weak,,,,92.10%,315,26
609779,George Armstrong International Studies Elementary School,ES,FALSE,Average,59,Average,57,Average,59,Strong,64,Weak,53,Average,45,96.30%,1509,2
